firstname,lastname,email,dateOfBirth,schoolClass,phoneNumber
Anett,Balfre,abalfre1s@sitemeter.com,11-05-2023,HIGH_SCHOOL_1TH_GRADE,1489152487
Emalee,Nisuis,enisuis1t@tuttocitta.it,21-10-2023,HIGH_SCHOOL_1TH_GRADE,4805944609
Abe,Wallworth,awallworth1u@example.com,17-10-2023,HIGH_SCHOOL_1TH_GRADE,6526515399
Aleda,Le Marchant,alemarchant1v@irs.gov,11-10-2022,HIGH_SCHOOL_1TH_GRADE,5748217739
Ugo,Marryatt,umarryatt1w@macromedia.com,23-05-2023,HIGH_SCHOOL_1TH_GRADE,8086632548
Daniella,Lillyman,dlillyman1x@clickbank.net,24-06-2022,HIGH_SCHOOL_1TH_GRADE,5448805438
Rod,Addyman,raddyman1y@hostgator.com,11-11-2022,HIGH_SCHOOL_1TH_GRADE,3264600762
Roderigo,Arrundale,rarrundale1z@cloudflare.com,21-06-2023,HIGH_SCHOOL_1TH_GRADE,3326381820
Ernesto,Laraway,elaraway20@usa.gov,25-06-2023,HIGH_SCHOOL_1TH_GRADE,7851673692
Erica,Ganders,eganders21@blogger.com,14-07-2023,HIGH_SCHOOL_1TH_GRADE,8393999906
Tracy,Codling,tcodling22@forbes.com,08-08-2022,HIGH_SCHOOL_1TH_GRADE,5358359986
Irving,Camosso,icamosso23@seattletimes.com,06-02-2023,HIGH_SCHOOL_1TH_GRADE,1172172681
Nikolas,Colbran,ncolbran24@buzzfeed.com,08-06-2022,HIGH_SCHOOL_1TH_GRADE,5468537937
Shandie,Daish,sdaish25@chicagotribune.com,19-10-2021,HIGH_SCHOOL_1TH_GRADE,2146007046
Britt,Alsopp,balsopp26@digg.com,24-02-2023,HIGH_SCHOOL_1TH_GRADE,5416366809
Cristian,Crowche,ccrowche27@yale.edu,13-06-2022,HIGH_SCHOOL_1TH_GRADE,2497269008
Hayes,Thompson,hthompson28@123-reg.co.uk,28-06-2022,HIGH_SCHOOL_1TH_GRADE,4346483098
Ralf,Klaffs,rklaffs29@t.co,15-03-2023,HIGH_SCHOOL_1TH_GRADE,8311175564
Jeff,Babbidge,jbabbidge2a@bloglines.com,28-08-2023,HIGH_SCHOOL_1TH_GRADE,1276786484
Merla,Chaudhry,mchaudhry2b@ft.com,21-09-2022,HIGH_SCHOOL_1TH_GRADE,8434093237
Ellen,Dublin,edublin2c@xing.com,02-04-2023,HIGH_SCHOOL_1TH_GRADE,4263239401
Jermain,Onthank,jonthank2d@bbb.org,24-09-2023,HIGH_SCHOOL_1TH_GRADE,5928364242
Lissa,Cauthra,lcauthra2e@linkedin.com,17-09-2022,HIGH_SCHOOL_1TH_GRADE,5877586698
Eduino,Le Quesne,elequesne2f@csmonitor.com,11-10-2022,HIGH_SCHOOL_1TH_GRADE,4292424480
Sigmund,Korneichik,skorneichik2g@tamu.edu,09-07-2022,HIGH_SCHOOL_1TH_GRADE,9707195018
Gayel,Heckle,gheckle2h@fc2.com,22-09-2023,HIGH_SCHOOL_1TH_GRADE,1711628752
Jayme,Carbonell,jcarbonell2i@time.com,26-11-2021,HIGH_SCHOOL_1TH_GRADE,5633631687
Townie,Hubbert,thubbert2j@prnewswire.com,09-08-2021,HIGH_SCHOOL_1TH_GRADE,4706940399
Karie,Barzen,kbarzen2k@chron.com,03-09-2021,HIGH_SCHOOL_1TH_GRADE,1259512287
Enid,Washington,ewashington2l@list-manage.com,23-03-2022,HIGH_SCHOOL_1TH_GRADE,5772109663
Marijn,Di Maria,mdimaria2m@canalblog.com,02-07-2023,HIGH_SCHOOL_1TH_GRADE,3057589404
Egon,Haddock,ehaddock2n@devhub.com,16-08-2023,HIGH_SCHOOL_1TH_GRADE,6832493821
Marquita,Kohrs,mkohrs2o@nsw.gov.au,04-03-2022,HIGH_SCHOOL_1TH_GRADE,2644926736
Pru,Bettridge,pbettridge2p@acquirethisname.com,19-09-2021,HIGH_SCHOOL_1TH_GRADE,3974708873
Joete,Trumble,jtrumble2q@booking.com,30-08-2023,HIGH_SCHOOL_1TH_GRADE,7893463184
Shaughn,Szymanowski,sszymanowski2r@smugmug.com,18-12-2022,HIGH_SCHOOL_1TH_GRADE,8093264202
Fania,Duberry,fduberry2s@smh.com.au,23-12-2022,HIGH_SCHOOL_1TH_GRADE,1428401462
Doloritas,Purveys,dpurveys2t@unc.edu,15-11-2021,HIGH_SCHOOL_1TH_GRADE,3897231348
Margarita,Pye,mpye2u@altervista.org,26-08-2022,HIGH_SCHOOL_1TH_GRADE,6871392206
Arabel,Syddon,asyddon2v@opera.com,03-02-2022,HIGH_SCHOOL_1TH_GRADE,8842171632
Marsha,Svanetti,msvanetti2w@myspace.com,02-10-2023,HIGH_SCHOOL_1TH_GRADE,3452146295
Elnore,Salzberger,esalzberger2x@shop-pro.jp,16-10-2021,HIGH_SCHOOL_1TH_GRADE,2199415145
Wilmer,Grebner,wgrebner2y@jugem.jp,11-10-2022,HIGH_SCHOOL_1TH_GRADE,4542369223
Silvan,Craxford,scraxford2z@livejournal.com,09-01-2023,HIGH_SCHOOL_1TH_GRADE,2257831782
Benny,Sibun,bsibun30@ibm.com,02-02-2022,HIGH_SCHOOL_1TH_GRADE,9259044084
Vivyanne,O'Flaverty,voflaverty31@nydailynews.com,09-08-2023,HIGH_SCHOOL_1TH_GRADE,7974042319
Artemis,Lilian,alilian32@cpanel.net,17-07-2021,HIGH_SCHOOL_1TH_GRADE,6241764058
Storm,Baudinet,sbaudinet33@globo.com,20-08-2022,HIGH_SCHOOL_1TH_GRADE,6681870091
Barry,Dello,bdello34@indiatimes.com,16-02-2022,HIGH_SCHOOL_1TH_GRADE,9695793563
Jonathon,Keighly,jkeighly35@engadget.com,05-03-2022,HIGH_SCHOOL_1TH_GRADE,5472219036
Jarvis,Ivchenko,jivchenko36@cbc.ca,20-06-2023,HIGH_SCHOOL_1TH_GRADE,6447531392
Chariot,Ticehurst,cticehurst37@flickr.com,15-06-2023,HIGH_SCHOOL_1TH_GRADE,6379137778
Milly,Unstead,munstead38@symantec.com,19-02-2023,HIGH_SCHOOL_1TH_GRADE,3077992290
Juliana,Orrocks,jorrocks39@i2i.jp,14-12-2021,HIGH_SCHOOL_1TH_GRADE,4769100758
Hester,Pechold,hpechold3a@amazon.com,17-04-2023,HIGH_SCHOOL_1TH_GRADE,3368471780
Mattheus,Wogden,mwogden3b@google.nl,30-11-2021,HIGH_SCHOOL_1TH_GRADE,2559408972
Lulu,Hawket,lhawket3c@redcross.org,26-10-2023,HIGH_SCHOOL_1TH_GRADE,7314009862
Webb,Wooder,wwooder3d@narod.ru,25-07-2023,HIGH_SCHOOL_1TH_GRADE,8708155634
Sam,Eagers,seagers3e@businessinsider.com,02-02-2023,HIGH_SCHOOL_1TH_GRADE,4527136802
Daryn,Froude,dfroude3f@over-blog.com,01-12-2022,HIGH_SCHOOL_1TH_GRADE,2035775262
Buddy,Kropp,bkropp3g@who.int,19-10-2021,HIGH_SCHOOL_1TH_GRADE,3017671142
Hinda,Rubury,hrubury3h@spotify.com,27-04-2022,HIGH_SCHOOL_1TH_GRADE,8792042264
Irita,Beinisch,ibeinisch3i@artisteer.com,15-07-2022,HIGH_SCHOOL_1TH_GRADE,1854902105
Amii,McKeon,amckeon3j@shop-pro.jp,21-05-2023,HIGH_SCHOOL_1TH_GRADE,7394425879
Aviva,Macallam,amacallam3k@toplist.cz,18-02-2022,HIGH_SCHOOL_1TH_GRADE,4655388901
Ennis,Orum,eorum3l@alexa.com,04-06-2023,HIGH_SCHOOL_1TH_GRADE,3473377399
Garrek,Worling,gworling3m@t-online.de,25-05-2023,HIGH_SCHOOL_1TH_GRADE,7654640768
Amie,Jiroutka,ajiroutka3n@pagesperso-orange.fr,08-12-2022,HIGH_SCHOOL_1TH_GRADE,5858841915
Lotty,Hayton,lhayton3o@mysql.com,02-05-2022,HIGH_SCHOOL_1TH_GRADE,4808097469
Ag,Gittoes,agittoes3p@wufoo.com,29-10-2022,HIGH_SCHOOL_1TH_GRADE,4191497704
Guss,Collyns,gcollyns3q@a8.net,01-12-2022,HIGH_SCHOOL_1TH_GRADE,3124100167
Thomasa,Colwell,tcolwell3r@cyberchimps.com,06-09-2023,HIGH_SCHOOL_1TH_GRADE,2333270296
Udell,Stubbins,ustubbins3s@redcross.org,03-09-2021,HIGH_SCHOOL_1TH_GRADE,7289571142
Justinian,Grayshon,jgrayshon3t@yellowbook.com,28-12-2022,HIGH_SCHOOL_1TH_GRADE,2981359541
Mel,Emmitt,memmitt3u@chicagotribune.com,02-05-2022,HIGH_SCHOOL_1TH_GRADE,9048983466
Jacquelynn,Ricioppo,jricioppo3v@springer.com,04-09-2021,HIGH_SCHOOL_1TH_GRADE,6032273731
Brigid,Monckton,bmonckton3w@reference.com,16-06-2022,HIGH_SCHOOL_1TH_GRADE,3193179663
L;urette,Dilston,ldilston3x@typepad.com,10-06-2023,HIGH_SCHOOL_1TH_GRADE,2581257358
Thorn,Britzius,tbritzius3y@gnu.org,11-10-2021,HIGH_SCHOOL_1TH_GRADE,7588589885
Isidore,Abbey,iabbey3z@irs.gov,09-02-2023,HIGH_SCHOOL_1TH_GRADE,7194949179
Halli,Woodhouse,hwoodhouse40@360.cn,15-09-2023,HIGH_SCHOOL_1TH_GRADE,8176401023
Tymon,Brydell,tbrydell41@spiegel.de,03-04-2023,HIGH_SCHOOL_1TH_GRADE,8123100292
Bobbye,D'orsay,bdorsay42@fastcompany.com,14-05-2023,HIGH_SCHOOL_1TH_GRADE,4588668599
Rahel,Stollenbecker,rstollenbecker43@techcrunch.com,19-08-2021,HIGH_SCHOOL_1TH_GRADE,6286574701
Say,Toller,stoller44@jigsy.com,29-10-2021,HIGH_SCHOOL_1TH_GRADE,5894199591
Josy,Olensby,jolensby45@vinaora.com,03-07-2023,HIGH_SCHOOL_1TH_GRADE,6931698389
Almeda,Janew,ajanew46@pinterest.com,14-08-2023,HIGH_SCHOOL_1TH_GRADE,6138858481
Jacquenetta,Gatrill,jgatrill47@cbc.ca,09-11-2022,HIGH_SCHOOL_1TH_GRADE,5538869934
Salomi,Kirsz,skirsz48@google.de,30-09-2021,HIGH_SCHOOL_1TH_GRADE,2176012501
Pippa,Schimek,pschimek49@sbwire.com,16-08-2021,HIGH_SCHOOL_1TH_GRADE,3691822843
Debra,Pigot,dpigot4a@technorati.com,06-02-2022,HIGH_SCHOOL_1TH_GRADE,4745861755
Shelby,Revans,srevans4b@usgs.gov,01-12-2021,HIGH_SCHOOL_1TH_GRADE,4552503873
Kleon,Brockbank,kbrockbank4c@topsy.com,28-12-2021,HIGH_SCHOOL_1TH_GRADE,2837942942
Grata,Tupper,gtupper4d@latimes.com,21-05-2023,HIGH_SCHOOL_1TH_GRADE,9288594175
Roma,Jewitt,rjewitt4e@bigcartel.com,23-02-2023,HIGH_SCHOOL_1TH_GRADE,3378006636
Raf,Sillick,rsillick4f@hud.gov,20-07-2021,HIGH_SCHOOL_1TH_GRADE,4336534417
Sawyere,Blampey,sblampey4g@themeforest.net,18-01-2022,HIGH_SCHOOL_1TH_GRADE,4513742868
Daile,Dyball,ddyball4h@fastcompany.com,24-08-2023,HIGH_SCHOOL_1TH_GRADE,2619107495
Arnoldo,Rossetti,arossetti4i@ow.ly,02-10-2023,HIGH_SCHOOL_1TH_GRADE,4418814396
Stillman,Remer,sremer4j@vinaora.com,09-06-2023,HIGH_SCHOOL_1TH_GRADE,9702099750
Berti,Callander,bcallander4k@cnbc.com,29-12-2021,HIGH_SCHOOL_1TH_GRADE,5933782312
Charmian,Cabrer,ccabrer4l@kickstarter.com,10-10-2022,HIGH_SCHOOL_1TH_GRADE,8497468346
Vally,Sendall,vsendall4m@cocolog-nifty.com,14-08-2023,HIGH_SCHOOL_1TH_GRADE,3596366328
Loralyn,Packe,lpacke4n@ehow.com,20-02-2022,HIGH_SCHOOL_1TH_GRADE,5409874618
Donelle,Sketcher,dsketcher4o@wikimedia.org,06-03-2022,HIGH_SCHOOL_1TH_GRADE,5376529921
Marvin,Bretherton,mbretherton4p@biglobe.ne.jp,07-09-2022,HIGH_SCHOOL_1TH_GRADE,7948291421
Dorine,Verbruggen,dverbruggen4q@constantcontact.com,15-06-2023,HIGH_SCHOOL_1TH_GRADE,6118041589
Gaylene,Jirzik,gjirzik4r@google.com.hk,08-09-2023,HIGH_SCHOOL_1TH_GRADE,2379032363
Quinlan,Crosetti,qcrosetti4s@wordpress.com,08-02-2022,HIGH_SCHOOL_1TH_GRADE,4498230843
Kalindi,Redmayne,kredmayne4t@nature.com,06-02-2022,HIGH_SCHOOL_1TH_GRADE,5024752549
Mallory,Bushaway,mbushaway4u@npr.org,16-07-2022,HIGH_SCHOOL_1TH_GRADE,3969057647
Hailee,Colliss,hcolliss4v@yelp.com,21-06-2022,HIGH_SCHOOL_1TH_GRADE,3208003876
Germain,Shrigley,gshrigley4w@canalblog.com,30-12-2022,HIGH_SCHOOL_1TH_GRADE,2485519505
Kessiah,Springthorpe,kspringthorpe4x@hibu.com,16-06-2023,HIGH_SCHOOL_1TH_GRADE,9298975078
Rip,Moran,rmoran4y@intel.com,06-08-2023,HIGH_SCHOOL_1TH_GRADE,5224024786
Giraud,Peverell,gpeverell4z@amazon.co.uk,08-12-2022,HIGH_SCHOOL_1TH_GRADE,1216424294
Margot,Dockray,mdockray50@wikipedia.org,03-10-2022,HIGH_SCHOOL_1TH_GRADE,4783064644
Alfie,Vaulkhard,avaulkhard51@joomla.org,01-04-2023,HIGH_SCHOOL_1TH_GRADE,6155401977
Agustin,Andor,aandor52@pcworld.com,09-10-2022,HIGH_SCHOOL_1TH_GRADE,4701350565
Giles,Ponder,gponder53@lycos.com,27-11-2021,HIGH_SCHOOL_1TH_GRADE,6953752519
Moira,Rippen,mrippen54@networkadvertising.org,22-09-2021,HIGH_SCHOOL_1TH_GRADE,2018243160
Estell,Proudler,eproudler55@un.org,20-02-2022,HIGH_SCHOOL_1TH_GRADE,1887248585
Pepito,Sauvage,psauvage56@java.com,30-03-2023,HIGH_SCHOOL_1TH_GRADE,2004273533
Clari,Ranscombe,cranscombe57@instagram.com,20-05-2022,HIGH_SCHOOL_1TH_GRADE,7251406852
Katleen,Izkovitch,kizkovitch58@rambler.ru,28-06-2022,HIGH_SCHOOL_1TH_GRADE,5447481640
Yelena,Saltmarsh,ysaltmarsh59@google.it,11-10-2021,HIGH_SCHOOL_1TH_GRADE,9789161452
Marlin,Lowre,mlowre5a@adobe.com,15-05-2023,HIGH_SCHOOL_1TH_GRADE,2816593710
Tabbi,Beeckx,tbeeckx5b@symantec.com,22-03-2022,HIGH_SCHOOL_1TH_GRADE,5673802608
Jackelyn,Tant,jtant5c@pen.io,24-07-2021,HIGH_SCHOOL_1TH_GRADE,4619744600
Lek,Clilverd,lclilverd5d@geocities.com,18-08-2023,HIGH_SCHOOL_1TH_GRADE,1721739420
Perren,Kemmons,pkemmons5e@dyndns.org,29-10-2022,HIGH_SCHOOL_1TH_GRADE,2375294130
Felike,Haws,fhaws5f@upenn.edu,24-10-2022,HIGH_SCHOOL_1TH_GRADE,4809891946
Philly,Martel,pmartel5g@facebook.com,02-09-2023,HIGH_SCHOOL_1TH_GRADE,3781248064
Kessiah,Mitchall,kmitchall5h@alexa.com,11-10-2022,HIGH_SCHOOL_1TH_GRADE,6394802821
Trudy,Capron,tcapron5i@163.com,21-06-2023,HIGH_SCHOOL_1TH_GRADE,1271211103
Shermy,Fevier,sfevier5j@ask.com,04-04-2023,HIGH_SCHOOL_1TH_GRADE,3712743796
Corbet,Krol,ckrol5k@phpbb.com,26-12-2021,HIGH_SCHOOL_1TH_GRADE,6389832511
Theodore,Whitehair,twhitehair5l@discuz.net,19-10-2023,HIGH_SCHOOL_1TH_GRADE,2843825460
Ash,Ohlsen,aohlsen5m@miibeian.gov.cn,12-03-2022,HIGH_SCHOOL_1TH_GRADE,2812271473
Madlin,Fish,mfish5n@ucsd.edu,21-03-2022,HIGH_SCHOOL_1TH_GRADE,7243947279
Moselle,Baroch,mbaroch5o@wired.com,10-10-2021,HIGH_SCHOOL_1TH_GRADE,3566899337
Kare,Marklow,kmarklow5p@ted.com,22-11-2022,HIGH_SCHOOL_1TH_GRADE,2731871438
Rozanna,Blencoe,rblencoe5q@state.tx.us,17-07-2023,HIGH_SCHOOL_1TH_GRADE,9992304645
Dave,D'eathe,ddeathe5r@redcross.org,20-07-2022,HIGH_SCHOOL_1TH_GRADE,4766276512
Deirdre,Jojic,djojic5s@ucoz.com,19-09-2021,HIGH_SCHOOL_1TH_GRADE,4647078559
Claiborne,Bishopp,cbishopp5t@bravesites.com,30-08-2023,HIGH_SCHOOL_1TH_GRADE,9591058915
Isabeau,Mulloch,imulloch5u@webeden.co.uk,27-04-2023,HIGH_SCHOOL_1TH_GRADE,3905561336
Chance,Pedican,cpedican5v@apple.com,02-08-2021,HIGH_SCHOOL_1TH_GRADE,5697573189
Beale,Dunsmore,bdunsmore5w@shareasale.com,09-09-2022,HIGH_SCHOOL_1TH_GRADE,5031987910
Rodrigo,Ondracek,rondracek5x@clickbank.net,05-07-2022,HIGH_SCHOOL_1TH_GRADE,7469501376
Justina,Penwright,jpenwright5y@arstechnica.com,23-02-2023,HIGH_SCHOOL_1TH_GRADE,7711029937
Ravi,Anselmi,ranselmi5z@moonfruit.com,16-12-2021,HIGH_SCHOOL_1TH_GRADE,7092685033
Cosette,Lamp,clamp60@sbwire.com,29-06-2023,HIGH_SCHOOL_1TH_GRADE,7403310864
Leonardo,Lightfoot,llightfoot61@sitemeter.com,11-08-2021,HIGH_SCHOOL_1TH_GRADE,5571331388
Jarrod,Portinari,jportinari62@google.pl,12-01-2022,HIGH_SCHOOL_1TH_GRADE,1498174132
Addison,Laurisch,alaurisch63@tamu.edu,14-12-2021,HIGH_SCHOOL_1TH_GRADE,6198642664
Melisande,Collison,mcollison64@smugmug.com,21-02-2022,HIGH_SCHOOL_1TH_GRADE,7276743350
Aldric,Drever,adrever65@netlog.com,31-07-2023,HIGH_SCHOOL_1TH_GRADE,1072894080
Diarmid,Cosby,dcosby66@digg.com,17-06-2022,HIGH_SCHOOL_1TH_GRADE,4232323448
Maurine,Lane,mlane67@soundcloud.com,14-02-2022,HIGH_SCHOOL_1TH_GRADE,5038944202
Raynard,Coleridge,rcoleridge68@abc.net.au,23-10-2021,HIGH_SCHOOL_1TH_GRADE,2635332851
Jorie,Tellenbrok,jtellenbrok69@mapy.cz,16-01-2023,HIGH_SCHOOL_1TH_GRADE,2341537568
Bailey,Murtagh,bmurtagh6a@pen.io,20-08-2021,HIGH_SCHOOL_1TH_GRADE,7501473148
Dolley,Hearl,dhearl6b@hugedomains.com,30-11-2021,HIGH_SCHOOL_1TH_GRADE,3966750914
Irena,Naptin,inaptin6c@dot.gov,19-02-2023,HIGH_SCHOOL_1TH_GRADE,1255067905
Harris,Beminster,hbeminster6d@amazon.co.jp,01-01-2023,HIGH_SCHOOL_1TH_GRADE,3245404023
Merrily,Canwell,mcanwell6e@washingtonpost.com,25-12-2021,HIGH_SCHOOL_1TH_GRADE,2038233495
Therese,Vasilyevski,tvasilyevski6f@blogtalkradio.com,03-11-2023,HIGH_SCHOOL_1TH_GRADE,8431095847
Nessi,Cattel,ncattel6g@so-net.ne.jp,26-02-2022,HIGH_SCHOOL_1TH_GRADE,3047799497
Bonnie,Kenen,bkenen6h@stumbleupon.com,21-07-2023,HIGH_SCHOOL_1TH_GRADE,1871227758
Vidovik,Chanson,vchanson6i@forbes.com,14-12-2022,HIGH_SCHOOL_1TH_GRADE,5758766045
Bernadette,Foulstone,bfoulstone6j@about.com,28-10-2023,HIGH_SCHOOL_1TH_GRADE,9222664317
Stacie,Brophy,sbrophy6k@example.com,19-06-2022,HIGH_SCHOOL_1TH_GRADE,6193623225
Trumaine,Bohike,tbohike6l@opera.com,23-03-2022,HIGH_SCHOOL_1TH_GRADE,8547074570
Mellisa,Sayle,msayle6m@bing.com,13-08-2022,HIGH_SCHOOL_1TH_GRADE,3016958445
Christina,Deare,cdeare6n@unesco.org,14-11-2021,HIGH_SCHOOL_1TH_GRADE,1081057224
Randolph,Nanelli,rnanelli6o@google.com.hk,31-08-2021,HIGH_SCHOOL_1TH_GRADE,2378653508
Aubry,Ragborne,aragborne6p@themeforest.net,16-01-2023,HIGH_SCHOOL_1TH_GRADE,9455779698
Cherianne,Davidovitz,cdavidovitz6q@chicagotribune.com,17-11-2021,HIGH_SCHOOL_1TH_GRADE,3862105137
